Questions,Actual Ans,,Explanation by GPT,Ans by Gemini,Ans by DeepSeek,Ans by Claude,Ans by Grok
কোন দুটি সংখ্যা একসাথে থাকলেই গন্ডগোল হয়ে যায়?,নয়-ছয়,"""০"" এবং ""১""","যখন ০ এবং ১ একসাথে আসে, তখন তা কম্পিউটার সিস্টেমের মধ্যে ""বাইনারি কোড"" হিসেবে ব্যবহৃত হয়, যা কোনো গণ্ডগোল বা ভুলের সৃজন করতে পারে, যেমন, সিস্টেমের ক্র্যাশ বা ভুল অপারেশন। এছাড়া, এই দুটি সংখ্যা একত্রে কখনও বিভ্রান্তি বা গোলযোগ সৃষ্টি করতে পারে যদি সেগুলির মধ্যে কোনো অদ্ভুত পরিণতি হয়।",,,,
"কি নামতে পারে, কিন্তু উঠতে পারে না?",বৃষ্টি,বৃষ্টির পানি,"বৃষ্টির পানি মেঘ থেকে নামতে পারে (পৃথিবীতে পড়ে), কিন্তু তা আবার উপরে (মেঘে) উঠতে পারে না",,,,
কোন উল গান জানে?,বাউল,উল্লু,"""উল্লু"" শব্দটি একটি পাখি (এলেঙ্গু), যা নিজের কণ্ঠে আওয়াজ করতে পারে, তবে ""গান"" গাওয়া অর্থে নয়।
এখানে ""উল"" শব্দটি উল্লুকে বোঝাতে ব্যবহৃত, যা একটি হাস্যকর ধাঁধা তৈরি করে।",,,,
কোন টিয়া ডকে না?,খাটিয়া,,,,,,
"কী সেটা, যা পালকের থেকেও হালকা কিন্তু বড়ো বড়ো পালোয়ানও যা বেশিক্ষণ ধরে রাখতে পারে না",নিঃশ্বাস,শ্বাস,"""পালকের থেকেও হালকা""  শ্বাস অনেক হালকা, একে তুলনা করা যায় পালকের সঙ্গে।
""কিন্তু বড়ো বড়ো পালোয়ানও যা বেশিক্ষণ ধরে রাখতে পারে না"" একজন পালোয়ান বা শক্তিশালী মানুষও দীর্ঘক্ষণ শ্বাস না নিয়ে থাকতে পারে না, শ্বাস গ্রহণ করা বা ছাড়ানো প্রাকৃতিক প্রক্রিয়া যা খুব অল্প সময়ের জন্যও বন্ধ রাখা যায় না।",,,,
দশ দিন না ঘুমিয়ে থাকবেন কী করে?,রাতে ঘুমিয়ে নেবেন,,,,,,
"রোজ সকালে কার তেকে মাথা উঠে যায়, কিন্তু রাতে আবার ফিরে আসে?",বালিশ,,,,,,
সে দেয় সে জানে! সে নেয় সে জানে না!! যে জানে সে নেয় না,জ্ঞান,,,,,,
"একজন সাঁতারু ডুব সাঁতার কাটলো, টিৎ সাঁতার কাটলো, কিন্তু তার চুল ভিজলো না, কীকরে",মাথায় চুল ছিল না,,,,,,
কার হাত আছে কিন্তু তালি দিতে পারে না,ঘড়ি,,,,,,
